Sample Type	Details	Platform	Sequencing	Total Reads	Mean Read Length	Total Data	Median Quality	NCBI Project	NCBI Experiment	SRA Accession	Study	Year
Empirical	Human gut microbiome	Sequel II System	4plex on 1 SMRT Cell (8M)	"1,142,896"	6.1 kb	7.0 Gb	Q36	[PRJNA754443](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA754443/)	[SRX11788797](https://www.ncbi.nlm.nih.gov/sra/SRX11788797)	[SRR15489013](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR15489013)	Gehrig et al. 2022	2021
Empirical	Human gut microbiome	Sequel II System	4plex on 1 SMRT Cell (8M)	"817,197"	7.1 kb	5.8 Gb	Q40	[PRJNA754443](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA754443/)	[SRX11788799](https://www.ncbi.nlm.nih.gov/sra/SRX11788799)	[SRR15489011](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR15489011)	Gehrig et al. 2022	2021
Empirical	Human gut microbiome	Sequel II System	4plex on 1 SMRT Cell (8M)	"1,000,637"	6.4 kb	6.4 Gb	Q40	[PRJNA754443](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA754443/)	[SRX11788800](https://www.ncbi.nlm.nih.gov/sra/SRX11788800)	[SRR15489010](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR15489010)	Gehrig et al. 2022	2021
Empirical	Human gut microbiome	Sequel II System	4plex on 1 SMRT Cell (8M)	"955,510"	6.6 kb	6.4 Gb	Q40	[PRJNA754443](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA754443/)	[SRX11788801](https://www.ncbi.nlm.nih.gov/sra/SRX11788901)	[SRR15489009](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR15489009)	Gehrig et al. 2022	2021
Empirical	Chicken gut microbiome (ileum)	Sequel II System	2 SMRT Cells 8M	"4,282,202"	17.0 kb 	72.8 Gb	Q33	[PRJNA748109](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA748109)	[SRX15782990](https://www.ncbi.nlm.nih.gov/sra/SRX15782990)	[SRR19736685](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR19736685)	Zhang et al. 2022	2022
Empirical	Chicken gut microbiome (duodenum)	Sequel II System	1 SMRT Cell 8M	"2,872,317"	7.8 kb 	22.4 Gb	Q39	[PRJNA748109](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA748109)	[SRX15732759](https://www.ncbi.nlm.nih.gov/sra/SRX15732759)	[SRR19683891](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR19683891)	Zhang et al. 2022	2022
Empirical	Chicken gut microbiome (jejunum)	Sequel II System	2 SMRT Cells 8M	"2,669,321"	16.7 kb 	44.6 Gb	Q35	[PRJNA748109](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA748109)	[SRX15772561](https://www.ncbi.nlm.nih.gov/sra/SRX15772561)/[SRX15778906](https://www.ncbi.nlm.nih.gov/sra/SRX15778906)	[SRR19726169](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR19726169)/[SRR19732514](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR19732514)	Zhang et al. 2022	2022
Empirical	Chicken gut microbiome (colorectum)	Sequel II System	2 SMRT Cells 8M	"5,866,401"	18.9 kb 	111.9 Gb	Q31	[PRJNA748109](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA748109)	[SRX15732760](https://www.ncbi.nlm.nih.gov/sra/SRX15732760)/[SRX15779122](https://www.ncbi.nlm.nih.gov/sra/SRX15779122)	[SRR19683890](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR19683890)/[SRR19732729](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR19732729)	Zhang et al. 2022	2022
Empirical	Photobioreactor microbiome	Sequel II System	1 SMRT Cell 8M	"1,417,931"	3.2 kb	4.6 Gb	Q40	[PRJNA834472](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA834472)	[SRX15637842](https://www.ncbi.nlm.nih.gov/sra/SRX15637842)	[SRR19586134](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR19586134)	Noonan et al. 2022	2022
Empirical	Human gut microbiome	Sequel II System	1 SMRT Cell 8M	"2,017,709"	14.6 kb 	29.6 Gb	Q34	[PRJNA798244](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA798244)	[SRX13850385](https://www.ncbi.nlm.nih.gov/sra/SRX13850385)	[SRR17687125](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR17687125)	Kim et al. 2022	2022
Empirical	Hot spring sediment microbiome	Sequel II System	1 SMRT Cell 8M	"2,694,800"	NR 	27.9 Gb	NR	[PRJDB11609](https://ddbj.nig.ac.jp/resource/bioproject/PRJDB11609)	[DRX279589](https://ddbj.nig.ac.jp/resource/sra-experiment/DRX279589)	[DRR290133](https://ddbj.nig.ac.jp/resource/sra-run/DRR290133)	Kato et al. 2022	2022
												
"Bickhart, D.M., Kolmogorov, M., Tseng, E., Portik, D.M., Korobeynikov, A., Tolstoganov, I., Uritskiy, G., Liachko, I., Sullivan, S.T., Shin, S.B., Zorea, A., Andreu, V.P., Panke-Buisse, K., Medema, M.H., Mizrahi, I., Pevzner, P.A., and T.P.L. Smith. 2022. Generating lineage-resolved, complete metagenome-assembled genomes from complex microbial communities. Nature Biotechnology, 40: 711-719. https://doi.org/10.1038/s41587-021-01130-z"												
"Gehrig, J.L., Portik, D.M., Driscoll, M.D., Jackson, E., Chakraborty, S., Gratalo, D., Ashby, M., and R. Valladares. 2022. Finding the right fit: evaluation of short-read and long-read sequencing approaches to maximize the utility of clinical microbiome data. Microbial Genomics, 8: 000794. https://doi.org/10.1099/mgen.0.000794"												
"Kato, S., Masuda, S., Shibata, A., Shirasu, K., and M. Ohkuma. 2022. Insights into ecological roles of uncultivated bacteria in Katase hot spring sediment from long-read metagenomics. Frontiers in Microbiology, 13: 1045931. https://doi.org/10.3389/fmicb.2022.1045931"												
"Kim, C.Y., Ma, J., and I. Lee. 2022. HiFi metagenomic sequencing enables assembly of accurate and complete genomes from human gut microbiota. Nature Communications, 13: 6367. https://doi.org/10.1038/s41467-022-34149-0"												
"Noonan, A.J.C, Qiu, Y., Kieft, B., Formby, S., Liu, T., Dofher, K., Koch, M., and S.J. Hallam. 2022. Metagenome-assembled genomes for Candidatus Phormidium sp. Strain AB48 and co-occurring microorganisms from an industrial photobioreactor environment. Microbiology Resource Announcements, e0044722. https://doi.org/10.1128/mra.00447-22"												
"Zhang, Y., Jiang, F., Yang, B., Wang, S., Wang, H., Wang, A., Xu, D., and W. Fan. 2022. Improved microbial genomes and gene catalog of the chicken gut from metagenomic sequencing of high-fidelity long reads. GigaScience, 11: 1-12. https://doi.org/10.1093/gigascience/giac116"												
